network,station,location,latitude,longitude,distance_deg,azimuth_deg,samples,o,idep
AV,MAPS,--,53.8082,-166.9407,14.127,82.6644,15000,-80.12,vel
AV,AKRB,--,54.1292,-166.0708,14.5614,80.9733,15000,-86.04,vel
AV,SSBA,--,54.7718,-164.1265,15.5537,77.7421,15000,-99.3,vel
AK,CHI,--,55.8218,-155.6225,20.1291,71.5243,15000,-154.088,vel
AK,JIS,--,58.2758,-134.3848,30.7275,59.409,15000,-255.168,vel
AK,PNL,--,59.667,-139.4014,27.8691,58.0501,15000,-229.808,vel
AK,PIN,--,60.0959,-140.2525,27.364,57.3322,15000,-225.288,vel
AK,SAMH,--,60.1294,-140.7828,27.0982,57.3686,15000,-222.888,vel
AK,NICH,--,60.2357,-143.9713,25.5166,57.7139,15000,-208.608,vel
AK,KHIT,--,60.4427,-143.251,25.8402,57.1247,15000,-211.548,vel
AK,EYAK,--,60.5487,-145.75,24.6059,57.2396,15000,-200.328,vel
AV,RDDF,--,60.5912,-152.6883,21.2014,57.6366,15000,-165.7,vel
AK,GRNC,--,60.7315,-141.7558,26.5241,56.2329,15000,-217.728,vel
AK,CAPN,--,60.7683,-151.1539,21.95,57.1235,15000,-173.748,vel
AK,KIAG,--,60.9231,-142.3605,26.2048,55.9025,15000,-214.848,vel
AK,BAL,--,61.036,-142.3462,26.1964,55.6474,15000,-214.768,vel
AK,FIRE,--,61.1426,-150.2164,22.3969,56.1065,15000,-178.508,vel
AV,SPCN,--,61.2244,-152.1854,21.4476,55.8988,15000,-168.36,vel
AK,KNK,--,61.4131,-148.4585,23.2338,55.3481,15000,-187.368,vel
AK,KLU,--,61.4924,-145.9227,24.4398,54.9952,15000,-198.808,vel
AK,PAX,--,62.9699,-145.4699,24.5862,51.4183,15000,-200.148,vel
AK,CAST,--,63.4188,-152.0844,21.6274,49.9432,15000,-170.288,vel
AK,MCK,--,63.7318,-148.9373,23.0498,49.4438,15000,-185.428,vel
AK,CHUM,--,63.8827,-152.3152,21.5814,48.6599,15000,-169.788,vel
AK,BWN,--,64.1732,-149.2991,22.9263,48.2859,15000,-184.128,vel
AK,CCB,--,64.6453,-147.8053,23.6105,47.2387,15000,-191.228,vel
TA,POKR,--,65.1171,-147.4335,23.8104,46.1062,12000,-193.06,vel
AK,FYU,--,66.5657,-145.2342,24.8581,42.84,15000,-202.628,vel
TA,TOLK,--,68.6408,-149.5724,23.6356,37.1086,12000,-191.46,vel
