network,station,location,latitude,longitude,distance_deg,azimuth_deg,samples,o,idep
AV,MAPS,--,53.8082,-166.9407,48.104,44.6877,15000,-399.76,vel
AV,AKBB,--,54.0975,-165.9338,48.6934,44.2916,15000,-404.32,vel
AK,FALS,--,54.8564,-163.4176,50.1339,43.2381,15000,-415.328,vel
AK,JIS,--,58.2758,-134.3848,64.9634,35.37,15000,-519.908,vel
AV,AUJA,--,59.3395,-153.4227,55.1901,37.0844,15000,-452.78,vel
AV,AU22,--,59.370595,-153.355058,55.2206,37.0417,15000,-453.0,vel
TA,P19K,--,59.6524,-153.2319,55.2487,36.692,12000,-453.205,vel
TA,O18K,--,59.8542,-155.208,54.2377,36.5751,12000,-445.854,vel
AV,IVE,--,60.0163,-153.0185,55.3118,36.2368,6000,-453.68,vel
AK,PIN,--,60.0959,-140.2525,61.5214,34.595,15000,-497.048,vel
AK,SSP,--,60.1791,-142.8388,60.2605,34.9112,15000,-488.468,vel
AK,GRIN,--,60.2805,-143.321,60.0032,34.8686,15000,-486.708,vel
AK,WAX,--,60.448,-142.8529,60.1849,34.6139,15000,-487.948,vel
AK,SLK,--,60.5117,-150.2231,56.6185,35.4159,15000,-463.028,vel
AV,RDJH,--,60.5905,-152.8058,55.3496,35.5284,15000,-453.92,vel
AK,GRNC,--,60.7315,-141.7558,60.631,34.1367,15000,-491.008,vel
AK,LOGN,--,60.824,-141.0048,60.9587,33.9201,15000,-493.248,vel
AK,BMR,--,60.9677,-144.6051,59.2278,34.2701,15000,-481.348,vel
AK,FIRE,--,61.1426,-150.2164,56.5278,34.6679,15000,-462.368,vel
AK,VRDI,--,61.2275,-143.4545,59.7082,33.8257,15000,-484.668,vel
AK,MCAR,--,61.3836,-143.024,59.8711,33.5924,15000,-485.788,vel
TA,N25K,--,61.6061,-144.5982,59.0888,33.5446,12000,-480.379,vel
AK,SCM,--,61.832,-147.329,57.776,33.5899,15000,-471.208,vel
TA,L19K,--,62.1816,-154.8543,54.2296,33.6984,12000,-445.804,vel
AK,CUT,--,62.4058,-150.2625,56.332,33.1699,15000,-460.98,vel
AK,PPLA,--,62.8962,-152.1894,55.397,32.7038,15000,-454.268,vel
TA,K20K,--,63.3569,-154.07,54.5131,32.2263,12000,-447.88,vel
AK,DOT,--,63.6487,-144.0674,58.8915,31.155,15000,-479.008,vel
AK,CHUM,--,63.8827,-152.3152,55.2528,31.5148,15000,-453.228,vel
TA,J20K,--,64.1767,-154.1467,54.433,31.2225,12000,-447.279,vel
AK,ANM,--,64.5646,-165.3732,49.6034,30.4842,15000,-411.288,vel
AK,MDM,--,64.9602,-148.2319,56.8902,29.9935,15000,-464.948,vel
TA,I26K,--,65.3064,-143.1541,58.9367,29.1651,12000,-479.33,vel
TA,H23K,--,65.8251,-149.5432,56.2469,29.041,12000,-460.38,vel
AK,COLD,--,67.2269,-150.2038,55.8606,27.3851,15000,-457.608,vel
TA,A36M,--,71.9871,-125.2472,63.1187,19.6922,12000,-507.779,vel
