network,station,location,latitude,longitude,distance_deg,azimuth_deg,samples,o,idep
AK,ATKA,--,52.2016,-174.1975,66.6629,15.6175,15000,-528.888,vel
AV,MSW,--,53.9148,-166.788,70.3146,18.9272,15000,-551.72,vel
AV,AKRB,--,54.1292,-166.0708,70.7233,19.1802,15000,-554.22,vel
AK,JIS,--,58.2758,-134.3848,86.323,28.2372,15000,-640.128,vel
AV,AUJA,--,59.3395,-153.4227,79.1039,21.4154,15000,-602.66,vel
AV,AU22,--,59.370595,-153.355058,79.1503,21.4183,15000,-602.92,vel
AK,PNL,--,59.667,-139.4014,84.8093,25.7096,15000,-632.608,vel
AK,PIN,--,60.0959,-140.2525,84.6882,25.1123,15000,-632.008,vel
AK,HIN,--,60.396,-146.5035,82.3759,23.0069,15000,-620.148,vel
AK,EYAK,--,60.5487,-145.75,82.7605,23.1233,15000,-622.148,vel
AK,GRNC,--,60.7315,-141.7558,84.4354,24.1614,15000,-630.728,vel
AK,CAPN,--,60.7683,-151.1539,80.9137,21.1896,15000,-612.428,vel
AK,KIAG,--,60.9231,-142.3605,84.3062,23.832,15000,-630.068,vel
AK,BAL,--,61.036,-142.3462,84.3777,23.7435,15000,-630.428,vel
AK,FIRE,--,61.1426,-150.2164,81.5016,21.2293,15000,-615.548,vel
AK,KNK,--,61.4131,-148.4585,82.3098,21.5989,15000,-619.808,vel
AK,SKN,--,61.98,-151.5317,81.6245,20.1753,15000,-616.208,vel
AK,PAX,--,62.9699,-145.4699,84.3781,21.2969,15000,-630.428,vel
AK,MCK,--,63.7318,-148.9373,83.6852,19.6963,15000,-626.908,vel
AK,CHUM,--,63.8827,-152.3152,82.7083,18.5488,15000,-621.88,vel
AK,BWN,--,64.1732,-149.2991,83.8635,19.258,15000,-627.828,vel
AK,CCB,--,64.6453,-147.8053,84.6594,19.3337,15000,-631.848,vel
TA,POKR,--,65.1171,-147.4335,85.0872,19.0773,12000,-633.999,vel
AK,FYU,--,66.5657,-145.2342,86.7046,18.5317,15000,-641.988,vel
TA,TOLK,--,68.6408,-149.5724,86.8071,15.8674,12000,-642.499,vel
