network,station,location,latitude,longitude,distance_deg,azimuth_deg,samples,o,idep
AK,ATKA,--,52.2016,-174.1975,86.0955,23.3363,15000,-639.548,vel
AV,OKFG,--,53.4107,-167.9115,86.9239,19.4301,15000,-643.6,vel
AV,MAPS,--,53.8082,-166.9407,86.8296,18.736,15000,-643.14,vel
AV,MSW,--,53.9148,-166.788,86.7742,18.6078,15000,-642.868,vel
AV,AKRB,--,54.1292,-166.0708,86.7671,18.1346,15000,-642.84,vel
AV,SSBA,--,54.7718,-164.1265,86.6641,16.8368,15000,-642.34,vel
AK,CHI,--,55.8218,-155.6225,87.416,11.937,15000,-645.988,vel
AK,JIS,--,58.2758,-134.3848,86.8129,0.1812,15000,-643.068,vel
AV,AUJA,--,59.3395,-153.4227,84.3866,9.7929,15000,-631.02,vel
AV,AU22,--,59.370595,-153.355058,84.3661,9.751,15000,-630.92,vel
AK,PNL,--,59.667,-139.4014,85.318,2.7139,15000,-635.708,vel
AK,KAI,--,59.9268,-144.4188,84.7756,5.202,15000,-632.988,vel
AK,PIN,--,60.0959,-140.2525,84.8551,3.1055,15000,-633.388,vel
AK,SAMH,--,60.1294,-140.7828,84.7972,3.3666,15000,-633.088,vel
AK,NICH,--,60.2357,-143.9713,84.5024,4.9352,15000,-631.608,vel
AK,YAH,--,60.3583,-141.751,84.5198,3.823,15000,-631.688,vel
AK,HIN,--,60.396,-146.5035,84.1436,6.1537,15000,-629.788,vel
AK,KHIT,--,60.4427,-143.251,84.3462,4.5519,15000,-630.808,vel
AV,RDWB,--,60.486807,-152.843634,83.3602,9.2011,15000,-625.78,vel
AK,EYAK,--,60.5487,-145.75,84.0573,5.7594,15000,-629.348,vel
AV,RDDF,--,60.5912,-152.6883,83.2798,9.0991,15000,-625.38,vel
AK,GRNC,--,60.7315,-141.7558,84.1486,3.784,15000,-629.808,vel
AK,CAPN,--,60.7683,-151.1539,83.299,8.3219,15000,-625.468,vel
AK,KIAG,--,60.9231,-142.3605,83.9244,4.0564,15000,-628.668,vel
AK,FIRE,--,61.1426,-150.2164,83.043,7.7873,15000,-624.148,vel
AV,SPCN,--,61.2244,-152.1854,82.7322,8.6952,15000,-622.54,vel
AV,SPCP,--,61.265465,-152.155495,82.6963,8.6706,15000,-622.348,vel
AK,KNK,--,61.4131,-148.4585,82.9631,6.8971,15000,-623.748,vel
AK,KLU,--,61.4924,-145.9227,83.113,5.6826,15000,-624.508,vel
AK,SKN,--,61.98,-151.5317,82.08,8.1991,15000,-619.148,vel
AK,PAX,--,62.9699,-145.4699,81.6915,5.2241,15000,-617.108,vel
AK,CAST,--,63.4188,-152.0844,80.6239,8.0797,15000,-611.428,vel
AK,MCK,--,63.7318,-148.9373,80.6497,6.6249,15000,-611.568,vel
AK,CHUM,--,63.8827,-152.3152,80.1493,8.0583,15000,-608.888,vel
AK,BWN,--,64.1732,-149.2991,80.1844,6.6856,15000,-609.068,vel
AK,CCB,--,64.6453,-147.8053,79.8573,5.9446,15000,-607.308,vel
TA,POKR,--,65.1171,-147.4335,79.4256,5.6935,12000,-604.97,vel
AK,FYU,--,66.5657,-145.2342,78.1605,4.5275,15000,-598.008,vel
TA,TOLK,--,68.6408,-149.5724,75.8046,5.7788,12000,-584.744,vel
