network,station,location,latitude,longitude,distance_deg,azimuth_deg,samples,o,idep
AK,ATKA,--,52.2016,-174.1975,74.3312,38.694,15000,-578.018,vel
AV,OKFG,--,53.4107,-167.9115,77.1072,35.737,15000,-593.91,vel
AV,MAPS,--,53.8082,-166.9407,77.3995,35.0847,15000,-595.55,vel
AV,MSW,--,53.9148,-166.788,77.4216,34.9435,15000,-595.67,vel
AV,AKRB,--,54.1292,-166.0708,77.6698,34.5311,15000,-597.07,vel
AV,SSBA,--,54.7718,-164.1265,78.2826,33.3575,15000,-600.47,vel
AK,JIS,--,58.2758,-134.3848,87.5414,19.4024,15000,-648.378,vel
AV,AUJA,--,59.3395,-153.4227,80.222,26.1005,15000,-611.05,vel
AV,AU22,--,59.370595,-153.355058,80.228,26.0537,15000,-611.09,vel
AK,PNL,--,59.667,-139.4014,84.8991,20.6884,15000,-635.398,vel
AK,KAI,--,59.9268,-144.4188,83.0751,22.465,15000,-626.098,vel
AK,PIN,--,60.0959,-140.2525,84.2977,20.7582,15000,-632.358,vel
AK,SAMH,--,60.1294,-140.7828,84.1055,20.9439,15000,-631.378,vel
AK,NICH,--,60.2357,-143.9713,82.9949,22.0897,15000,-625.698,vel
AK,YAH,--,60.3583,-141.751,83.6228,21.1705,15000,-628.918,vel
AK,KHIT,--,60.4427,-143.251,83.0763,21.6823,15000,-626.118,vel
AK,EYAK,--,60.5487,-145.75,82.1699,22.5304,15000,-621.398,vel
AK,GRNC,--,60.7315,-141.7558,83.3355,20.9311,15000,-627.458,vel
AK,CAPN,--,60.7683,-151.1539,80.1266,24.2525,15000,-610.538,vel
AK,KIAG,--,60.9231,-142.3605,82.9987,21.0334,15000,-625.718,vel
AK,BAL,--,61.036,-142.3462,82.9175,20.9542,15000,-625.298,vel
AK,FIRE,--,61.1426,-150.2164,80.2083,23.6598,15000,-610.978,vel
AV,SPCN,--,61.2244,-152.1854,79.4497,24.2468,15000,-606.87,vel
AV,SPCP,--,61.265465,-152.155495,79.4334,24.2057,15000,-606.79,vel
AK,KNK,--,61.4131,-148.4585,80.6328,22.8689,15000,-613.258,vel
AK,KLU,--,61.4924,-145.9227,81.4271,21.9372,15000,-617.498,vel
AK,SKN,--,61.98,-151.5317,79.1813,23.4616,15000,-605.418,vel
AK,PAX,--,62.9699,-145.4699,80.4995,20.7543,15000,-612.538,vel
AK,CAST,--,63.4188,-152.0844,78.0392,22.5336,15000,-599.118,vel
AK,MCK,--,63.7318,-148.9373,78.8629,21.3322,15000,-603.658,vel
AK,CHUM,--,63.8827,-152.3152,77.6578,22.2443,15000,-596.99,vel
AK,BWN,--,64.1732,-149.2991,78.4439,21.1176,15000,-601.358,vel
AK,CCB,--,64.6453,-147.8053,78.5817,20.3132,15000,-602.118,vel
TA,POKR,--,65.1171,-147.4335,78.3627,19.8573,12000,-600.924,vel
TA,TOLK,--,68.6408,-149.5724,75.3274,17.8299,12000,-583.799,vel
