network,station,location,latitude,longitude,distance_deg,azimuth_deg,samples,o,idep
AV,AMKA,--,51.3784,179.301832,61.2333,17.0141,15000,-480.58,vel
AV,SSLN,--,54.81136,-163.99864,69.8469,23.7738,15000,-535.98,vel
TA,U33K,--,56.1146,-133.121,85.2027,32.2006,12000,-621.19,vel
TA,R16K,--,57.5673,-157.5742,74.3343,24.2528,12000,-562.689,vel
TA,Q18K,--,58.6484,-155.0086,76.0676,24.283,12000,-572.614,vel
AV,AUJA,--,59.3395,-153.4227,77.1366,24.2355,15000,-578.62,vel
TA,P18K,--,59.3922,-155.2292,76.4438,23.6095,12000,-574.74,vel
TA,P19K,--,59.6524,-153.2319,77.4026,24.0386,12000,-580.115,vel
TA,O20K,--,60.0815,-152.624,77.904,23.8727,12000,-582.889,vel
TA,O29M,--,60.3024,-138.5755,84.0414,27.2283,12000,-615.364,vel
AV,RED,--,60.4196,-152.7742,78.046,23.5486,15000,-583.68,vel
AK,PWL,--,60.8584,-148.3334,80.0851,24.4447,15000,-594.768,vel
AK,RC01,--,61.0889,-149.739,79.6423,23.8668,15000,-592.38,vel
AK,KNK,--,61.4131,-148.4585,80.3348,23.9364,15000,-596.108,vel
TA,M22K,--,61.7531,-150.1205,79.8654,23.2021,12000,-593.59,vel
AK,SKN,--,61.98,-151.5317,79.4521,22.6226,15000,-591.348,vel
TA,M26K,--,62.4013,-142.9963,83.0518,24.3911,12000,-610.34,vel
AK,PPLA,--,62.8962,-152.1894,79.7479,21.6847,15000,-592.948,vel
AK,RND,--,63.4056,-148.8602,81.271,22.1374,15000,-601.068,vel
AK,GAMB,--,63.7758,-171.7036,74.3197,14.5952,15000,-562.608,vel
AK,BWN,--,64.1732,-149.2991,81.5368,21.3803,15000,-602.468,vel
AK,NEA2,--,64.5928,-149.0694,81.8537,21.0832,15000,-604.12,vel
TA,POKR,--,65.1171,-147.4335,82.7223,21.0225,12000,-608.64,vel
AK,TNA,--,65.5598,-167.9267,76.7124,14.8582,15000,-576.248,vel
TA,G27K,--,66.8088,-141.6549,85.6038,20.7186,12000,-623.165,vel
TA,F31M,--,67.441,-133.742,88.6743,21.3641,12000,-637.94,vel
TA,E24K,--,68.0748,-148.4868,83.985,18.2859,12000,-615.09,vel
TA,A36M,--,71.9871,-125.2472,92.7444,17.7882,12000,-656.79,vel
