network,station,location,latitude,longitude,distance_deg,azimuth_deg,samples,o,idep
AV,AMKA,--,51.3784,179.301832,72.7653,319.5114,15000,-566.58,vel
AV,MGOD,--,53.7938,-166.878,64.4282,322.2472,15000,-514.5,vel
AV,ISLZ,--,54.72492,-163.71274,62.7418,323.5849,15000,-503.36,vel
AK,CHI,--,55.8218,-155.6225,58.5459,326.0969,15000,-474.728,vel
TA,S32K,--,57.4688,-134.5763,49.3046,334.8854,12000,-407.145,vel
AV,KABU,--,58.2702,-155.2843,59.1712,328.8758,15000,-479.068,vel
TA,Q16K,--,58.6774,-156.6556,59.9827,329.0471,12000,-484.67,vel
AK,CNP,--,59.5251,-151.2373,57.7109,331.1684,15000,-468.868,vel
TA,O17K,--,59.7733,-157.0946,60.5504,330.1598,12000,-488.57,vel
AK,SUCK,--,60.072,-143.779,54.6776,333.9043,15000,-447.188,vel
AK,SSP,--,60.1791,-142.8388,54.3436,334.329,15000,-444.768,vel
TA,M11K,--,60.3849,-166.2011,65.0934,329.5168,12000,-518.845,vel
AK,WAX,--,60.448,-142.8529,54.4985,334.6003,15000,-445.888,vel
AV,NCT,--,60.5621,-152.9293,58.9048,331.8802,15000,-477.22,vel
AK,GRNC,--,60.7315,-141.7558,54.2144,335.2641,15000,-443.828,vel
AK,DIV,--,61.1292,-145.7749,56.0674,334.3714,15000,-457.208,vel
AV,SPBG,--,61.2591,-152.3722,58.9402,332.7542,15000,-477.46,vel
AK,SSN,--,61.4636,-150.7467,58.3231,333.3609,15000,-473.168,vel
AK,GHO,--,61.771,-148.926,57.6935,334.1502,15000,-468.748,vel
AV,WAZA,--,62.0746,-144.1544,55.9187,335.8352,15000,-456.14,vel
TA,M26K,--,62.4013,-142.9963,55.6544,336.5291,12000,-454.245,vel
AK,PPLA,--,62.8962,-152.1894,59.5532,334.5281,15000,-481.708,vel
AK,RND,--,63.4056,-148.8602,58.4509,335.8624,15000,-474.068,vel
TA,K24K,--,63.8036,-145.7784,57.4788,337.096,12000,-467.244,vel
TA,J20K,--,64.1767,-154.1467,60.8825,335.4487,12000,-490.82,vel
AK,CCB,--,64.6453,-147.8053,58.671,337.3957,15000,-475.588,vel
TA,H18K,--,65.1527,-158.3633,62.9219,335.6975,12000,-504.57,vel
TA,G17K,--,65.5011,-160.6514,63.9385,335.7106,12000,-511.295,vel
TA,H24K,--,65.8371,-147.8781,59.3137,338.5712,12000,-480.07,vel
TA,G21K,--,66.5156,-153.5058,61.6323,338.0012,12000,-495.919,vel
TA,E18K,--,67.4213,-160.6027,64.5415,337.7405,12000,-515.245,vel
TA,D17K,--,67.6988,-163.0831,65.5275,337.7065,12000,-521.669,vel
TA,E21K,--,68.4414,-153.9721,62.6433,339.8725,12000,-502.694,vel
TA,C19K,--,69.1049,-159.5874,64.7704,339.6375,12000,-516.744,vel
TA,A36M,--,71.9871,-125.2472,57.861,350.3291,12000,-469.92,vel
